id,author_id,full_name,others,university,subjects,document_by_author,total_citation_number,total_document,h_index
271,8903088900,"Ströhmer Raimund","Strohmer, R.| Ströhmer, R.","Julius-Maximilians-Universität Würzburg, Wurzburg, Germany","Physics and Astronomy, Engineering, Mathematics, Multidisciplinary, Energy, Biochemistry Genetics and Molecular Biology, Medicine, Computer Science, Chemistry",1403,66226,28236,104
272,35228083000,"Strom David M.","Strom, D. M.| Strom, D.| Strom, David","University of Oregon, Eugene, United States","Physics and Astronomy, Mathematics, Engineering, Energy, Earth and Planetary Sciences, Medicine, Multidisciplinary, Computer Science, Biochemistry Genetics and Molecular Biology",813,38436,20105,90
273,55437886900,"Takeda Hiroshi","Takeda, H.","University of Tokyo, Tokyo, Japan","Physics and Astronomy, Energy, Engineering",195,7284,3936,49
274,57196641246,"Takeshita Tohru","Takeshita, T.","University of Tokyo, Tokyo, Japan","Physics and Astronomy",163,6520,3619,46
275,35228064300,"Taras Paul","Taras, P.","University of Montreal, Montreal, Canada","Physics and Astronomy, Mathematics, Engineering, Energy, Biochemistry Genetics and Molecular Biology, Materials Science, Multidisciplinary",905,34306,15682,84
276,56967694600,"Tarem Shlomit","Tarem, S.","Technion - Israel Institute of Technology, Haifa, Israel","Physics and Astronomy, Engineering, Mathematics, Energy, Computer Science, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Chemistry, Materials Science, Earth and Planetary Sciences",1308,59565,25766,99
277,57202558513,"Teixeira-Dias P.","Teixeira-DIas, P.| Teixeira- Dias, P.","Royal Holloway University of London, Egham, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Multidisciplinary, Biochemistry Genetics and Molecular Biology, Chemistry, Computer Science",1084,52377,22975,96
278,57190048600,"Thackray Nick J.","Thackray, N. J.| Thackray, Nick","European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy",56,3266,2273,29
279,8791943000,"Tranströmer G.","Transtromer, G.| Tonazzo, A.","The Royal Institute of Technology (KTH), Stockholm, Sweden","Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Chemistry",198,6970,4275,42
280,57080303800,"Tsukamoto Toshifumi Y.","Tsukamoto, Toshio| Tsukamoto, T. Y.| Tsukamoto, Toshifumi| Tsukamoto, Tatsuo| Tsukamoto, T.","High Energy Accelerator Research Organization, Tsukuba, Tsukuba, Japan","Physics and Astronomy, Earth and Planetary Sciences, Mathematics, Biochemistry Genetics and Molecular Biology, Engineering, Energy",319,10843,6578,53
281,8048719400,"Turner M. F.",NA,"European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy",96,4637,2429,40
282,6701422319,"Tysarczyk-Niemeyer G.",NA,"Anatomische Anstalt, Munich, Germany","Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Medicine, Engineering, Materials Science, Computer Science, Chemical Engineering",72,4389,2744,36
283,57205735301,"Van Den Plas D.","Van den Plas, D.| van Den Plas, D.| van den Plas, D.| Van den plas, D.| van den plas, D.","Laboratoire d'Annecy-le-Vieux de Physique des Particules LAPP, Annecy, France","Physics and Astronomy",109,5560,3344,41
284,6603689608,"van Kooten Richard J.","Van Kooten, R.| van Kooten, R.| Van Kooten, Rick| Kooten, R.| Van Kooten, Richard J.| Van Kooten, R. J.| VanKooten, R.| Kooten, R. Van| VAN KOOTEN, RICHARD J.","Indiana University, Bloomington, United States","Physics and Astronomy, Mathematics, Biochemistry Genetics and Molecular Biology, Engineering, Arts and Humanities",742,27960,13528,73
285,7003844098,"VanDalen Gordon J.","Vandalen, G.| VanDalen, G. K.| VanDalen, G. J.| Vandalen, G. J.| VanDalen, G.","University of California, Riverside, Riverside, United States","Physics and Astronomy, Mathematics",146,8928,5567,50
286,35353976400,"Vasseur Georges","Vasseur, G.","Institut de Recherche sur les Lois Fondamentales de l'Univers, Gif-sur-Yvette, France","Physics and Astronomy, Mathematics, Multidisciplinary, Engineering, Materials Science, Biochemistry Genetics and Molecular Biology, Energy, Computer Science",879,37218,17532,89
287,7003399499,"Virtue Clarence J.","Virtue, Clarence| Virtue, C.| Virtue, C. J.","Laurentian University, Sudbury ON,, Canada","Physics and Astronomy, Earth and Planetary Sciences, Mathematics, Multidisciplinary, Medicine, Engineering, Computer Science",134,12073,7640,47
288,14635099100,"Wagner Albrecht De Zubiaurre","Wagner, A.| Wagner, Albrecht| Wagner, A. P.| Wagner, A. De Zubiaurre","European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy, Mathematics, Engineering, Materials Science, Biochemistry Genetics and Molecular Biology, Multidisciplinary",800,31609,15211,81
289,7005213140,"Wahl Ch","Wahl, C.","Universität Freiburg im Breisgau, Freiburg im Breisgau, Germany","Physics and Astronomy",101,5498,3259,41
290,7405588813,"Walker John P.","Walker, J.| Walker, John| Walker, J. P.","University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy, Engineering, Energy",59,2441,1460,29
291,35228229300,"Ward C. P.","Ward, C.","University of Cambridge, Cambridge, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Chemistry, Computer Science, Multidisciplinary",1281,61836,26702,102
292,36049570700,"Ward David R.","Ward, D.| Ward, David| Ward, D. R.","University of Cambridge, Cambridge, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Medicine, Computer Science, Multidisciplinary",989,73810,47181,86
293,7202519228,"Watkins Peter M.","Watkins, P.| Watkins, P. M.| Watkins, Peter","University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Energy, Computer Science, Biochemistry Genetics and Molecular Biology, Social Sciences, Multidisciplinary, Medicine, Chemistry",1321,61020,26278,101
294,36042579800,"Watson A. T.","Watson, A.","University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Energy, Computer Science, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Medicine, Chemistry",1766,79176,32742,111
295,34574070800,"Watson Nigel Keith","Watson, Nigel| Watson, N.| Watson, N. K.","University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Chemistry, Computer Science, Medicine, Materials Science, Multidisciplinary",971,36229,17176,80
296,57202553760,"Weber Marcio Freitas Valle De Lemos","Weber, M.| Weisz, S.| Weber, M. F.","Karlsruhe Institute of Technology, Karlsruhe, Germany","Physics and Astronomy, Earth and Planetary Sciences, Mathematics, Engineering, Multidisciplinary, Chemistry, Medicine, Energy",250,7509,5247,42
297,14635048000,"Weber Pavel","Weber, Paul| Weber, P.","Karlsruhe Institute of Technology, Karlsruhe, Germany","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Energy, Computer Science, Medicine, Chemistry, Social Sciences, Decision Sciences",392,26892,15859,69
298,57207905394,"Weisz S.",NA,"European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy, Engineering",114,5808,3971,40
299,14007209600,"Wells P. S.","Wells, P.| Wells, PS","European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Chemistry, Multidisciplinary",1274,58067,24498,97
300,8903094300,"Wermes Norbert","Wermes, N.","Universität Bonn, Bonn, Germany","Physics and Astronomy, Engineering, Mathematics, Energy, Multidisciplinary, Computer Science, Medicine, Biochemistry Genetics and Molecular Biology, Chemistry, Materials Science",1634,69660,29846,103
301,57207904783,"Weymann M.",NA,"European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy, Engineering, Energy",62,3772,2683,32
302,57207897185,"Whalley Mike A.","Whalley, M.| Whalley, M. R.| Whalley, M. A.| Whalley, Mike","University of Durham, Durham, United Kingdom","Physics and Astronomy, Mathematics, Computer Science, Multidisciplinary",156,23828,20924,45
303,7404530443,"Wilson Graham W.","Wilson, Graham| Wilson, G.| Wilson, G. W.","University of Kansas, Lawrence, Lawrence, United States","Physics and Astronomy, Mathematics, Engineering, Earth and Planetary Sciences, Energy, Computer Science, Biochemistry Genetics and Molecular Biology, Multidisciplinary",828,32213,15597,76
304,7406648031,"Wilson John Allan","Wilson, J.| Wilson, J. A.| Wilson, John A.| Wilson, John","University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Computer Science, Chemistry, Multidisciplinary, Materials Science",1332,62082,26791,101
305,6603857274,"Wingerter Isabelle","WINGERTER, ISABELLE| Wingerter, I.","Lab d'Annecy-le-Vieux de Physique, Annecy le Vieux, France","Physics and Astronomy, Engineering, Energy, Biochemistry Genetics and Molecular Biology, Arts and Humanities",86,5964,4314,44
306,7004210489,"Winterer V. H.",NA,"Universität Freiburg im Breisgau, Freiburg im Breisgau, Germany","Physics and Astronomy",123,6106,3578,45
307,8046918600,"Wood N. C.",NA,"University of Manchester, Manchester, United Kingdom","Physics and Astronomy",57,3773,2650,32
308,7007055459,"Wotton S. A.","Wotton, S.","University of Cambridge, Cambridge, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Multidisciplinary, Biochemistry Genetics and Molecular Biology",797,28915,12609,77
309,57189707435,"Wyatt T. R.","Wyatt, T.","University of Manchester, Manchester, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology",310,7631,5191,40
310,7003795898,"Yaari R.",NA,"Weizmann Institute of Science Israel, Rehovot, Israel","Physics and Astronomy",110,5814,3534,41
311,57192546700,"Yang Y.",NA,"University of California, Riverside, Riverside, United States","Physics and Astronomy",52,2677,1729,31
312,7004283581,"Yekutieli G.",NA,"Weizmann Institute of Science Israel, Rehovot, Israel","Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Multidisciplinary",436,14520,7895,58
313,7003557605,"Yurko Michael","Yurko, M.","Purdue University, West Lafayette, United States","Physics and Astronomy, Mathematics, Engineering, Energy",163,6086,4145,43
314,6603627868,"Zacharov I. E.","Zacharov, I.","European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy",55,3455,2633,34
315,7004243465,"Zeuner Wolfram D.","Zeuner, W.| Zeuner, Wolfram| Zeuner, W. D.","European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy, Engineering, Mathematics, Materials Science, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Energy, Computer Science",1260,59094,24710,105
316,7005875615,"Zorn G. T.",NA,"University of Maryland, College Park, United States","Physics and Astronomy, Engineering, Energy, Biochemistry Genetics and Molecular Biology",272,10085,5708,52
317,6602224181,"Barwicz Joanna","Barwicz, J.","Université du Québec à Trois-Rivières, Trois-Rivieres, Canada","Biochemistry Genetics and Molecular Biology, Materials Science, Physics and Astronomy, Medicine, Chemistry, Pharmacology Toxicology and Pharmaceutics, Engineering, Immunology and Microbiology, Chemical Engineering",18,666,426,13
318,7003627885,"Gareau Raynald L.","Gareau, Raynald| Gareau, R. L.| Gareau, R.","Université du Québec à Trois-Rivières, Trois-Rivieres, Canada","Biochemistry Genetics and Molecular Biology, Medicine, Pharmacology Toxicology and Pharmaceutics, Health Professions, Veterinary, Multidisciplinary",28,551,390,13
319,7003636342,"Audet André","Audet, A.","Centre Hospitalier St-Joseph, Trois-Rivieres (Three Rivers), Canada","Biochemistry Genetics and Molecular Biology, Medicine, Environmental Science, Earth and Planetary Sciences",5,103,100,5
320,36838227700,"Morisset Anne",NA,"Université du Québec à Trois-Rivières, Trois-Rivieres, Canada","Biochemistry Genetics and Molecular Biology",1,33,33,1
321,6504030478,"Villiard Johanne","Villiard, J.","Université du Québec à Trois-Rivières, Trois-Rivieres, Canada","Biochemistry Genetics and Molecular Biology",1,33,33,1
322,6602686335,"Gruda Ilona","Gruda, I.","Université du Québec à Trois-Rivières, Trois-Rivieres, Canada","Biochemistry Genetics and Molecular Biology, Chemistry, Medicine, Pharmacology Toxicology and Pharmaceutics, Chemical Engineering, Materials Science, Immunology and Microbiology, Physics and Astronomy",26,702,460,16
323,6603187713,"Galatsis Paul",NA,"Pfizer Inc., New York, United States","Biochemistry Genetics and Molecular Biology, Chemistry, Pharmacology Toxicology and Pharmaceutics, Neuroscience, Medicine, Environmental Science",43,852,743,17
324,7004417866,"Millan Scott D.",NA,"University of Guelph, Guelph, Canada","Chemistry, Biochemistry Genetics and Molecular Biology, Pharmacology Toxicology and Pharmaceutics",5,172,147,5
325,6602959970,"Vahidi Haleh","Vahidi, H.","Simon Fraser University, Burnaby, Canada","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Medicine",3,51,43,3
326,9534770400,"Purac A.",NA,"Simon Fraser University, Burnaby, Canada","Biochemistry Genetics and Molecular Biology",1,17,17,1
327,57192150981,"LeBlanc Jean Marc","LeBlanc, J. M.| Leblanc, Jean Marc","Simon Fraser University, Burnaby, Canada","Biochemistry Genetics and Molecular Biology",2,25,25,2
328,6701671202,"Honda Barry M.","Honda, B. M.| Honda, B. D.| Honda, B.","Simon Fraser University, Burnaby, Canada","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Medicine, Multidisciplinary, Decision Sciences, Mathematics, Environmental Science, Pharmacology Toxicology and Pharmaceutics",48,2249,1946,22
329,56877363300,"Lafortune Jean François","Lafortune| Lafortune, Jean-François","Université Laval, Quebec, Canada","Physics and Astronomy",1,3,3,1
330,57203236461,"Valle´e Re´al","Vallée, Réa| Vallee, Réal| Vallée, R.| Vallee, R.| Vallée, Real| Valleé, Real| Vallee, Real| Valle´e, R.| Vallée, Réal| Vallee, Ral| VALLEE, R.","Université Laval, Quebec, Canada","Physics and Astronomy, Materials Science, Engineering, Computer Science, Chemistry, Mathematics, Biochemistry Genetics and Molecular Biology, Medicine, Neuroscience, Energy, Earth and Planetary Sciences, Agricultural and Biological Sciences, Multidisciplinary",300,3967,2789,37
331,36762032800,"Clements David R.","Clements, D. R.","Queen's University, Kingston, Kingston, Canada","Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology, Environmental Science, Earth and Planetary Sciences",5,120,82,5
332,7003732399,"Harmsen Rudolf","Harmsen, R.| HARMSEN, RUDOLF","Queen's University, Kingston, Kingston, Canada","Agricultural and Biological Sciences, Environmental Science, Biochemistry Genetics and Molecular Biology, Earth and Planetary Sciences, Immunology and Microbiology, Medicine, Computer Science, Multidisciplinary, Neuroscience, Engineering, Psychology, Veterinary",65,1005,849,19
333,7103297413,"Clements Peter J.",NA,"Western University, London, Canada","Environmental Science, Agricultural and Biological Sciences",1,7,7,1
334,7004084345,"Öztürk Tayfur","Ozturk, T.| Oztürk, Tayfur| Özturk, T.| Ozturk, Tayfur| Öztürk, T.","Middle East Technical University (METU), Ankara, Turkey","Materials Science, Engineering, Energy, Physics and Astronomy, Environmental Science, Chemical Engineering, Chemistry, Earth and Planetary Sciences, Business Management and Accounting, Biochemistry Genetics and Molecular Biology",50,377,350,11
335,7005226510,"Poole Warren J.","Poole, W. J.| Poole, Warren J.| POOLE, W. J.| Poole, Warren| Poole, W.","The University of British Columbia, Vancouver, Canada","Materials Science, Engineering, Physics and Astronomy, Chemistry, Chemical Engineering, Arts and Humanities, Medicine, Energy, Earth and Planetary Sciences, Computer Science, Mathematics",153,4689,3678,35
336,35326397200,"Embury John David","EMBURY, J. DAVID| Embury, J. David| EMBURY, J. D.| Embury, J.| Embury, J. D.| Embury, J. J.| Embury, John D.","The University of British Columbia, Vancouver, Canada","Materials Science, Engineering, Physics and Astronomy, Mathematics, Arts and Humanities, Earth and Planetary Sciences, Chemical Engineering, Chemistry, Computer Science, Energy, Environmental Science",291,10009,8065,53
337,7404337853,"Cooper Roderick M.","Cooper, Rod M.| COOPER, R. M.| COOPER., R. M.| Cooper, R. M.","University of Calgary, Calgary, Canada","Neuroscience, Medicine, Biochemistry Genetics and Molecular Biology, Chemistry, Chemical Engineering, Psychology, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary",48,1005,795,17
338,6701714743,"Thurlow Genevieve A.","Thurlow, G. A.| Thurlow, G.","University of Calgary, Calgary, Canada","Neuroscience, Biochemistry Genetics and Molecular Biology, Medicine",17,296,222,10
339,6508117110,"Jeeva A.",NA,"University of Calgary, Calgary, Canada",Neuroscience,1,4,4,1
340,6603467986,"Parlow Shelley E.","Parlow, S. E.| Parlow, Shelley","Carleton University, Ottawa, Canada","Psychology, Neuroscience, Medicine, Arts and Humanities",11,278,235,8
341,7006236207,"Dewey Deborah","Dewey, Deborah Margret| Dewey, Deborah M.| Dewey, D.| Dewey, D. M.","University of Calgary, Calgary, Canada","Medicine, Psychology, Neuroscience, Biochemistry Genetics and Molecular Biology, Environmental Science, Social Sciences, Nursing, Health Professions, Agricultural and Biological Sciences, Arts and Humanities, Pharmacology Toxicology and Pharmaceutics, Earth and Planetary Sciences",123,4190,3378,33
342,15027397500,"Reed Maureen J.","Reed, Maureen| Reed, M. J.","Ryerson University, Toronto, Canada","Medicine, Social Sciences, Neuroscience, Psychology, Engineering, Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Health Professions, Arts and Humanities",29,278,206,10
343,7006169204,"Steinbach Martin J.","Steinbach, M. J.| Steinbach, M.| Steinbach, Martin| Steinbach, Mtin J.| Steinbach, Martin J.","York University, Toronto, Canada","Medicine, Neuroscience, Psychology, Health Professions, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Computer Science, Social Sciences, Arts and Humanities",136,2250,1508,25
344,7006802779,"Anstis Stuart M.","Anstis, S.| Anstis, S. M.| Anstis, Stuart| ANSTIS, S. M.","University of California, San Diego, San Diego, United States","Psychology, Neuroscience, Medicine, Computer Science, Multidisciplinary, Physics and Astronomy, Agricultural and Biological Sciences, Materials Science, Biochemistry Genetics and Molecular Biology, Mathematics, Arts and Humanities, Engineering, Chemical Engineering",163,4772,3731,38
345,7005166550,"Gallie Brenda","Gallie, B.| Gallie, Brenda L.| Gallie, Breida L.| Gallie, B. L.","Hospital for Sick Children University of Toronto, Toronto, Canada","Medicine, Biochemistry Genetics and Molecular Biology, Neuroscience, Multidisciplinary, Immunology and Microbiology, Health Professions, Agricultural and Biological Sciences, Psychology, Chemical Engineering, Engineering, Decision Sciences, Physics and Astronomy, Mathematics, Environmental Science, Pharmacology Toxicology and Pharmaceutics",253,11576,7575,60
346,55605774973,"Smith David R.","Smith, D. R.| Smith, David","York University, Toronto, Canada","Medicine, Neuroscience, Multidisciplinary",3,150,145,3
347,7102619820,"Kraft Stephen P.","Kraft, S. P.| Kraft, S.| Kraft, Stephen","Hospital for Sick Children University of Toronto, Toronto, Canada","Medicine, Neuroscience, Health Professions, Biochemistry Genetics and Molecular Biology, Arts and Humanities",107,2179,1787,26
348,7005589389,"Ro Hyo-sung","Ro, Hyo sung| Ro, Hyo Sung| Ro, H. S.","Dalhousie University, Halifax, Canada","Biochemistry Genetics and Molecular Biology, Medicine, Nursing, Decision Sciences, Mathematics, Environmental Science, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary, Immunology and Microbiology, Agricultural and Biological Sciences",28,1168,900,18
349,55732618700,"Xu Lan","Xu, L.","Dalhousie University, Halifax, Canada","Biochemistry Genetics and Molecular Biology, Medicine, Decision Sciences, Mathematics, Environmental Science, Pharmacology Toxicology and Pharmaceutics",2,28,27,2
350,7202643014,"Mathur M. S.","Mathur, MS| MATHUR, M. S.","University of Manitoba, Winnipeg, Canada","Physics and Astronomy, Chemistry, Materials Science, Engineering, Biochemistry Genetics and Molecular Biology",37,106,93,6
351,22976130000,"McKee Jasper S.C.","McKee, JSC| McKee, J. S.C.| McKee, J. S.| Mckee, J. S.C.| McKee, James S.C.","University of Manitoba, Winnipeg, Canada","Physics and Astronomy, Materials Science, Engineering, Energy, Chemistry, Medicine, Environmental Science, Biochemistry Genetics and Molecular Biology, Mathematics, Earth and Planetary Sciences, Social Sciences, Chemical Engineering, Agricultural and Biological Sciences",101,462,363,11
352,7202694866,"Xu Nanping","XU, Nanping| Xu, Nan ping| Xu, Nan Ping| Xu, N. P.| Xu, N.","Nanjing Tech University, Nanjing, China","Chemical Engineering, Materials Science, Chemistry, Engineering, Environmental Science, Energy, Biochemistry Genetics and Molecular Biology, Physics and Astronomy, Earth and Planetary Sciences, Social Sciences, Mathematics, Computer Science, Multidisciplinary",410,10903,7787,52
353,55478491900,"Yao Jianmin",NA,"Nanjing Inst of Chemical Technology, Nanjing, China","Chemical Engineering, Chemistry",2,17,17,1
354,15080301800,"Wang Yanru","WANG, Yanru| Wang, Y. R.| Wang, Yan Ru| Wang, Yan ru","Nanjing Tech University, Nanjing, China","Chemical Engineering, Chemistry, Energy, Materials Science, Physics and Astronomy, Engineering, Environmental Science, Biochemistry Genetics and Molecular Biology",76,1225,1082,19
355,7404494809,"Shi Jun","Shi, J.","Nanjing Tech University, Nanjing, China","Chemical Engineering, Chemistry, Materials Science, Environmental Science, Energy, Engineering, Biochemistry Genetics and Molecular Biology, Physics and Astronomy, Earth and Planetary Sciences",106,2482,2015,28
356,56986862900,"Lu Benjamin C.Y.","Lu, B. C.| Lu, Benjamin C.| Lu, B. C.Y.","Beijing University of Chemical Technology, Beijing, China","Chemistry, Chemical Engineering, Physics and Astronomy, Engineering, Materials Science, Biochemistry Genetics and Molecular Biology, Environmental Science, Energy, Agricultural and Biological Sciences, Multidisciplinary",264,3915,2619,32
357,7102784908,"Heinrich Katherine","Heinrich, Katherlne| Heinrich, K.| Heinrich, Kathy","Simon Fraser University, Burnaby, Canada","Mathematics, Computer Science, Engineering, Decision Sciences",46,412,346,13
358,57204299936,"Messier Christian","Messier, C.| Messier, M. Christian","Université du Québec à Montréal, Montreal, Canada","Agricultural and Biological Sciences, Environmental Science, Biochemistry Genetics and Molecular Biology, Earth and Planetary Sciences, Social Sciences, Medicine, Immunology and Microbiology, Chemistry, Multidisciplinary, Decision Sciences, Physics and Astronomy, Mathematics, Chemical Engineering, Engineering, Neuroscience, Economics Econometrics and Finance, Computer Science, Business Management and Accounting",256,9389,6226,48
359,7003709022,"Kimmins James P.Hamish","Kimmins, J. P.| Kimmins, J. P.Hamish| Kimmins, James P.| Kimmins, J. P.(Hamish)","The University of British Columbia, Vancouver, Canada","Agricultural and Biological Sciences, Environmental Science, Earth and Planetary Sciences, Social Sciences, Energy, Medicine, Engineering, Computer Science, Biochemistry Genetics and Molecular Biology",88,2716,2115,32
360,23168455900,"Stinson Douglas R.","Stinson, Doug R.| Stinsony, Douglas R.| Stinson, Douglas| Stinson, Douglas R.| Stinson, D. R.| Stinson, Doug","David R. Cheriton School of Computer Science, Waterloo, Canada","Mathematics, Computer Science, Engineering, Biochemistry Genetics and Molecular Biology, Social Sciences, Decision Sciences",267,6691,4340,40
361,7203067676,"Rees Rolf Stephen","Rees, R.| Rees, R. S.| Rees, Rolf| Rees, Rolf S.","Memorial University of Newfoundland, St John's, Canada","Mathematics, Computer Science, Decision Sciences",52,718,430,13
362,7005379651,"Wallis Walter D.","Wallis, W. D.| Wallis, Walter| Wallis, W.| WALLIS, W. D.","Southern Illinois University at Carbondale, Carbondale, United States","Mathematics, Computer Science, Biochemistry Genetics and Molecular Biology, Arts and Humanities, Engineering, Decision Sciences",105,869,707,16
363,7005073666,"Colbourn Charles J.","Colbourn, C. J.| Colbourn, Charles","Arizona State University, Tempe, United States","Mathematics, Computer Science, Engineering, Decision Sciences, Social Sciences, Biochemistry Genetics and Molecular Biology, Medicine, Economics Econometrics and Finance, Physics and Astronomy, Environmental Science, Chemical Engineering, Chemistry, Business Management and Accounting",375,6736,4608,36
364,7402222462,"Hoffman Dean G.","Hoffman, D. G.| Hoffman, Dean","Auburn University, Auburn, United States","Mathematics, Computer Science, Decision Sciences, Agricultural and Biological Sciences",70,716,618,14
365,7006703520,"Rodger Chris A.","Rodger, C. A.| Rodger, Chris","Auburn University, Auburn, United States","Mathematics, Computer Science, Decision Sciences, Engineering, Energy, Chemistry, Social Sciences, Environmental Science, Chemical Engineering",156,1271,705,17
366,7102983539,"Bennett Frank E.","Bennett, F. E.","Mount Saint Vincent University, Halifax, Canada","Mathematics, Computer Science, Decision Sciences, Chemistry, Chemical Engineering",82,724,361,15
367,7404520882,"Shen Hao","Shen, H.","University of Pennsylvania, Philadelphia, United States","Mathematics, Medicine, Immunology and Microbiology, Biochemistry Genetics and Molecular Biology, Engineering, Computer Science, Multidisciplinary, Physics and Astronomy, Neuroscience, Pharmacology Toxicology and Pharmaceutics, Materials Science, Agricultural and Biological Sciences, Decision Sciences, Veterinary, Environmental Science",192,7606,6281,38
368,55667025800,"Morré Dorothy James","Morré, D. M.| MORRÉ, D. JAMES| Morré, D. J.| Morre, D. James| Morré, Dorothy M.| Morre, D. J.| Morré, D. James","Purdue University, West Lafayette, United States","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Medicine, Pharmacology Toxicology and Pharmaceutics, Chemistry, Environmental Science, Multidisciplinary, Immunology and Microbiology, Physics and Astronomy, Neuroscience, Nursing, Chemical Engineering, Arts and Humanities, Veterinary, Social Sciences, Decision Sciences, Mathematics, Health Professions, Engineering",348,8671,4670,47
369,6602770088,"Morré Jeffrey T.","Morre, J. T.| Morré, Jeffery| Morré, J. T.| Morré, Jeff| Morre, J.| Morre, Jeffrey| Morré, Jeffrey| Morre, Jeff| Morré, J.","Oregon State University, Corvallis, United States","Biochemistry Genetics and Molecular Biology, Chemistry, Agricultural and Biological Sciences, Pharmacology Toxicology and Pharmaceutics, Environmental Science, Medicine, Neuroscience, Materials Science, Physics and Astronomy, Psychology, Chemical Engineering, Engineering, Immunology and Microbiology",32,682,666,15
370,7004688221,"Morré Susan R.","Morre, S. R.","Purdue University, West Lafayette, United States","Biochemistry Genetics and Molecular Biology",1,17,17,1
371,7003381950,"Sundqvist Christer","SUNDQVIST, CHRISTER| Sundqvist, C.| SUNDQVIST, C.","Göteborgs Universitet, Gothenburg, Sweden","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Chemistry, Medicine, Chemical Engineering, Neuroscience, Immunology and Microbiology",102,2408,1035,28
372,6603696814,"Sandelius Anna Stina","Sandelius, A. S.| SANDELIUS, ANNA STINA| Sandelius, Anna S.","Göteborgs Universitet, Gothenburg, Sweden","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Medicine, Decision Sciences, Mathematics, Environmental Science",47,1627,1076,24
373,7005481147,"Milner Eric C.","Milner, E. C.","University of Calgary, Calgary, Canada","Mathematics, Biochemistry Genetics and Molecular Biology, Computer Science, Arts and Humanities, Social Sciences, Physics and Astronomy",54,540,472,11
374,24374764400,"Prikry Karel","Prikry, K.","University of Minnesota Twin Cities, Minneapolis, United States","Mathematics, Social Sciences, Decision Sciences, Economics Econometrics and Finance",44,362,304,10
375,7005280402,"Ålbertsson Per Åke A.","Albertsson, Per Ake| Albertsson, P. A.| Albertsson, Per åke| Albertsson, Perke| Albertsson, Per ake| ALBERTSSON, Per Åke| Albertsson, Peråke| Albertsson, P. Å.| Albertsson, Per Åke A.| Albertsson, Per Åke| Albertsson, Per Ke| ALBERTSSON, P. A.| Ålbertsson, Per Ake","Lunds Universitet, Lund, Sweden","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Chemistry, Medicine, Immunology and Microbiology, Chemical Engineering, Multidisciplinary, Nursing, Materials Science, Physics and Astronomy, Environmental Science, Engineering, Energy, Pharmacology Toxicology and Pharmaceutics, Social Sciences, Decision Sciences, Mathematics",157,4879,2955,38
376,6603595300,"Andreasson Eva","Andreasson, E. v.a.","Lunds Universitet, Lund, Sweden","Biochemistry Genetics and Molecular Biology, Agricultural and Biological Sciences, Decision Sciences, Mathematics, Environmental Science",9,305,197,7
377,7103121358,"Svensson Per",NA,"Lunds Universitet, Lund, Sweden","Biochemistry Genetics and Molecular Biology, Chemistry, Agricultural and Biological Sciences",8,259,161,7
